taxon_id,taxon_kind,scientific_name,language,common_name,source,source_priority,confidence,display_status,reviewer,notes,apply_status
reftaxon:inaturalist:6930,referenced_taxon,Anas platyrhynchos,nl,Wilde Eend,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:6990,referenced_taxon,Bucephala clangula,en,Common Goldeneye,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7008,referenced_taxon,Anser indicus,en,Bar-headed Goose,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7014,referenced_taxon,Anser cygnoides,en,Swan Goose,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7018,referenced_taxon,Anser anser,fr,Oie cendrée,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7018,referenced_taxon,Anser anser,nl,Grauwe Gans,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7019,referenced_taxon,Anser albifrons,en,Greater White-fronted Goose,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7045,referenced_taxon,Aythya ferina,en,Common Pochard,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7067,referenced_taxon,Tadorna tadorna,en,Common Shelduck,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7089,referenced_taxon,Branta canadensis,en,Canada Goose,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7101,referenced_taxon,Branta leucopsis,en,Barnacle Goose,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7104,referenced_taxon,Branta sandvicensis,en,Hawaiian Goose,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:7120,referenced_taxon,Cairina moschata,en,Muscovy Duck,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
