priority,taxon_id,taxon_kind,scientific_name,language,existing_name,selected_candidate_name,selected_source,selected_source_priority,display_status,recommendation,conflict_status,alternatives,affected_target_count,affected_ready_target_count,relationship_occurrence_count,projected_unlock_value,reviewer,reviewed_name,review_confidence,review_source,review_notes,apply_status
P1,taxon:birds:000025,canonical_taxon,Gallinula chloropus,fr,,Gallinule poule-d'eau,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000025,canonical_taxon,Gallinula chloropus,en,Common Moorhen,Common Moorhen,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000025,canonical_taxon,Gallinula chloropus,nl,,Waterhoen,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000026,canonical_taxon,Larus michahellis,fr,,Goéland leucophée,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,1,1,2,1,,,,,,pending
P1,taxon:birds:000026,canonical_taxon,Larus michahellis,en,Yellow-legged Gull,Yellow-legged Gull,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,1,1,2,1,,,,,,pending
P1,taxon:birds:000026,canonical_taxon,Larus michahellis,nl,,Geelpootmeeuw,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,1,1,2,1,,,,,,pending
P1,taxon:birds:000027,canonical_taxon,Larus argentatus,fr,,Goéland argenté,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,1,1,2,1,,,,,,pending
P1,taxon:birds:000027,canonical_taxon,Larus argentatus,en,European Herring Gull,European Herring Gull,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,1,1,2,1,,,,,,pending
P1,taxon:birds:000027,canonical_taxon,Larus argentatus,nl,,Zilvermeeuw,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,1,1,2,1,,,,,,pending
P1,taxon:birds:000028,canonical_taxon,Phalacrocorax carbo,fr,,Grand Cormoran,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,1,1,1,1,,,,,,pending
P1,taxon:birds:000028,canonical_taxon,Phalacrocorax carbo,en,Great Cormorant,Great Cormorant,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,1,1,1,1,,,,,,pending
P1,taxon:birds:000028,canonical_taxon,Phalacrocorax carbo,nl,,Aalscholver,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,1,1,1,1,,,,,,pending
P1,taxon:birds:000029,canonical_taxon,Ardea cinerea,fr,,Héron cendré,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000029,canonical_taxon,Ardea cinerea,en,Grey Heron,Grey Heron,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000029,canonical_taxon,Ardea cinerea,nl,,Blauwe Reiger,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000030,canonical_taxon,Egretta garzetta,fr,,Aigrette garzette,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,1,1,1,0,,,,,,pending
P1,taxon:birds:000030,canonical_taxon,Egretta garzetta,en,Little Egret,Little Egret,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,1,1,1,1,,,,,,pending
P1,taxon:birds:000030,canonical_taxon,Egretta garzetta,nl,,Kleine Zilverreiger,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,1,1,1,1,,,,,,pending
P1,taxon:birds:000031,canonical_taxon,Buteo buteo,fr,,Buse variable,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,3,3,4,0,,,,,,pending
P1,taxon:birds:000031,canonical_taxon,Buteo buteo,en,Common Buzzard,Common Buzzard,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,3,3,4,3,,,,,,pending
P1,taxon:birds:000031,canonical_taxon,Buteo buteo,nl,,Buizerd,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,4,3,,,,,,pending
P1,taxon:birds:000032,canonical_taxon,Accipiter nisus,fr,,Épervier d'Europe,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000032,canonical_taxon,Accipiter nisus,en,Eurasian Sparrowhawk,Eurasian Sparrowhawk,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000032,canonical_taxon,Accipiter nisus,nl,,Sperwer,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000033,canonical_taxon,Falco tinnunculus,fr,,Faucon crécerelle,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000033,canonical_taxon,Falco tinnunculus,en,Eurasian Kestrel,Eurasian Kestrel,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000033,canonical_taxon,Falco tinnunculus,nl,,Torenvalk,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000034,canonical_taxon,Falco peregrinus,fr,,Faucon pèlerin,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000034,canonical_taxon,Falco peregrinus,en,Peregrine Falcon,Peregrine Falcon,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000034,canonical_taxon,Falco peregrinus,nl,,Slechtvalk,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000035,canonical_taxon,Strix aluco,fr,,Chouette hulotte,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,5,5,7,0,,,,,,pending
P1,taxon:birds:000035,canonical_taxon,Strix aluco,en,Tawny Owl,Tawny Owl,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,5,5,7,5,,,,,,pending
P1,taxon:birds:000035,canonical_taxon,Strix aluco,nl,,Bosuil,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,7,5,,,,,,pending
P1,taxon:birds:000036,canonical_taxon,Asio otus,fr,,Hibou moyen-duc,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,2,2,3,0,,,,,,pending
P1,taxon:birds:000036,canonical_taxon,Asio otus,en,Long-eared Owl,Long-eared Owl,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000036,canonical_taxon,Asio otus,nl,,Ransuil,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000037,canonical_taxon,Athene noctua,fr,,Chevêche d'Athéna,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000037,canonical_taxon,Athene noctua,en,Little Owl,Little Owl,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000037,canonical_taxon,Athene noctua,nl,,Steenuil,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000038,canonical_taxon,Picus viridis,fr,,Pic vert,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,2,2,3,0,,,,,,pending
P1,taxon:birds:000038,canonical_taxon,Picus viridis,en,Eurasian Green Woodpecker,Eurasian Green Woodpecker,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000038,canonical_taxon,Picus viridis,nl,,Groene specht,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000039,canonical_taxon,Dendrocopos major,fr,,Pic épeiche,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,4,3,,,,,,pending
P1,taxon:birds:000039,canonical_taxon,Dendrocopos major,en,Great Spotted Woodpecker,Great Spotted Woodpecker,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,3,3,4,3,,,,,,pending
P1,taxon:birds:000039,canonical_taxon,Dendrocopos major,nl,,Grote bonte specht,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,4,3,,,,,,pending
P1,taxon:birds:000040,canonical_taxon,Dryocopus martius,fr,,Pic noir,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,3,3,3,0,,,,,,pending
P1,taxon:birds:000040,canonical_taxon,Dryocopus martius,en,Black Woodpecker,Black Woodpecker,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000040,canonical_taxon,Dryocopus martius,nl,,Zwarte Specht,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,3,3,,,,,,pending
